group_entry_name,sku,stock,allocated,price_per_unit,cost_price,incoming,cover_14,cover_30,cover_90,sell_through,units_sold,units_sold_in_kits,total_units_sold,profit,profit_margin_percent,gross_sales
Gasket for Portable Spa Pipes (V1) - 6 PACK,KK-10861,0,0,7.7075,3.0,0,0.0,0.0,0.0,less than a minute,4,0.0,4.0,18.83,60.0,30.83
GLACIER MICROBAN 100 SQ FT FILTER SET - 2 PACK & PRE-FILTER ( Fresh Water Kit ),KA-10032,627,57,85.0865340909090909,35.0,1206,0,0,0,5 months,311,7.0,318.0,15432.37,60.2728025477707006,26317.37
GLACIER PRE-FILTER SCREENS - 2 PACK,KA-10031,85,6,13.4136363636363636,6.0,0,0,0,0,9 months,20,0.0,20.0,150.25,57.892,270.25
Grand Rapids V2 Spa Coffee,KP-10014,0,0,749.17,250.0,0,0.0,0.0,0.0,less than a minute,1,0.0,1.0,499.17,66.63,749.17
Haliburton / Muskoka Hard Top Cover,KC-10052,-3,0,192.5033333333333333,0.0,0,3.0,5.0,9.0,about 2 months,3,0.0,3.0,577.51,100.0,577.51
HALIFAX SE 2016 22 JET 4 PERSON SPA,KH-10020,2,1,3290.0,3000.0,0,0,2.0,10.0,7 days,7,0.0,7.0,2030.0,8.81,23030.0
Hard Top Cover Upgrade - Rio Grande V2,KC-10187,0,1,188.0,150.0,0,1.0,4.0,12.0,less than a minute,1,0.0,1.0,38.0,20.21,188.0
Hard Top Cover Upgrade - Swift Current V1 / V2,KC-10051,-9,3,250.0,150.0,245,0,0,0,8 days,1,31.0,32.0,100.0,40.0,250.0
Head Rest - Weighted 2PK Black,KA-10093,31,0,83.325,40.0,0,0,0,0,almost 4 years,2,0.0,2.0,86.65,51.995,166.65
Heater 1.5Kw w/o Pressure Switch,KK-10845,84,0,60.0,60.0,0,0,0,0,-,0,5.0,5.0,0.0,0.0,0.0
Hot Tub Aromatherapy Spa Fragrance Individual,KA-10012,3694,6,7.7855494505494506,3.0,0,0,0,0,over 4 years,187,3.0,190.0,861.91,65.9985949178597374,1422.91
Hot Tub: Ex-Display / Demonstration. Specification as listed.,KH-10039,27,8,3981.56,0.0,0,0,0,0,4 months,18,0.0,18.0,71644.85,100.0,71644.85
hourly Service charge,KL-10002,990,9,63.805,30.0,0,0.0,0.0,0.0,-,13,1.0,14.0,430.49,52.81625,820.49
Inline RCD (no cable),KK-10855,2,0,30.0,12.0,0,0,0,0,6 months,1,0.0,1.0,18.0,60.0,30.0
Inline RCD  Plug & Play lead - Euro,KK-10403,16,0,0.0,13.53,0,0,0,0,almost 2 years,1,0.0,1.0,-13.53,0.0,0.0
Jet Body - For Hurricane Style Jets,KK-10185,-4,0,10.71666666666666666667,5.0,0,5.0,7.0,13.0,2 months,5,0.0,5.0,25.83,66.4975,53.81
Kelowna SF Hot Tub,KH-10041,5,2,3333.33,3000.0,0,0,0,4.0,5 months,1,0.0,1.0,333.33,10.0,3333.33
KINGSTON SE 55 JET 7 PERSON SPA,KH-10019,0,0,6137.51,5000.0,0,3.0,7.0,21.0,less than a minute,1,0.0,1.0,1137.51,18.53,6137.51
LARGE BOSTON INFLATION CHECK VALVE,KK-10686,204,0,0.9375,5.0,0,0,0,0,over 5 years,9,0.0,9.0,-37.5,33.33,7.5
Large Directional Jet (5in) - Hurricane,KK-10052,119,104,27.7458333333333333,7.47,150,0,0,0,3 months,124,2.0,126.0,3082.98,75.1036363636363636,4009.26
Large Directional Jet (5in) - Stainless Steel,KK-10073,79,0,29.0825,5.08,0,0,0,0,11 months,6,0.0,6.0,137.64,82.2075,168.12
Large inlet & outlet caps (2013 prior pack of 2),KK-10681,12,0,2.085,3.0,0,0,0,0.0,9 months,4,0.0,4.0,-7.83,28.06,4.17
Large Massage Jet (5in) - Hurricane,KK-10053,81,5,26.31625,7.24,150,0,0,0,8 months,30,4.0,34.0,577.73,73.2213333333333333,794.93
Large Massage Jet (5in) - Stainless Steel,KK-10074,52,0,28.7671428571428571,4.95,0,0,0,0,11 months,14,0.0,14.0,320.63,82.5914285714285714,389.93
Large Yukon Lounger Pillow - 2x Tone grey,KK-10680,11,0,12.915,14.0,0,0,0,0,over 1 year,2,0.0,2.0,-2.17,45.79,25.83
Lid Bladder - Grand Rapids V2,KK-10773,12,0,0.0,30.0,0,0,0,0,4 months,8,0.0,8.0,-240.0,0.0,0.0
Lid Bladder - Muskoka V2,KK-10764,6,0,0.0,30.0,0,0,0,0.0,4 months,4,0.0,4.0,-120.0,0.0,0.0
Lid Bladder - Rio Grande V1/Grand Rapids V1,KK-10080,58,1,16.666,1.0,0,0,0,0,almost 3 years,5,0.0,5.0,78.33,98.8,83.33
Lid Bladder - Rio Grande V2,KK-10767,17,0,27.7766666666666667,30.0,0,0,0,0,over 1 year,3,0.0,3.0,-6.67,64.0,83.33
Lid Bladder - Swift Current V1,KK-10090,30,0,64.8233333333333333,30.0,0,0,0,0,9 months,8,1.0,9.0,248.94,52.4466666666666667,488.94
Lid Bladder - Swift Current V2,KK-10847,12,0,3.4615384615384615,30.0,0,0,0,3.0,2 months,16,0.0,16.0,-390.0,33.33,90.0
Lid Complete - Rio Grande V1/Grand Rapids V1,KK-10076,36,0,39.0,35.0,0,0,0,0,almost 2 years,5,0.0,5.0,20.0,43.7466666666666667,195.0
Lid Complete - Swift Current V1 (Tan),KK-10086,57,0,14.0625,60.0,0,0,0,0,over 1 year,9,0.0,9.0,-427.5,-10.455,112.5
Lid Complete - Swift Current V2,KK-10821,0,0,0.0,50.0,0,0.0,2.0,6.0,less than a minute,9,0.0,9.0,-450.0,0.0,0.0
Lid for Filter - V1 PCU (portables),KK-10371,171,1,8.33,20.0,0,0,0,0,about 21 years,2,0.0,2.0,-23.34,-20.06,16.66
Lid for Rio Grande/Grand Rapids V1 (on top) with Flapper Valve,KK-10075,48,0,0.0,60.0,0,0,0,0,almost 12 years,1,0.0,1.0,-60.0,0.0,0.0
Lid Vinyl - Grand Rapids V2,KK-10769,22,0,0.0,15.0,0,0,0,0,over 2 years,2,0.0,2.0,-30.0,0.0,0.0
Lid Vinyl - Rio Grande V2,KK-10766,4,0,0.0,15.0,0,0,0,0,12 months,1,0.0,1.0,-15.0,0.0,0.0
Lighting 0.75in Perimeter Lens,KK-10217,217,0,1.11,0.9,0,0,0,0,about 2 years,24,0.0,24.0,28.28,72.93,49.88
Lighting 15 LED Main Light Bulb (swimspa) - p/n: 902-1,KK-10543,16,0,89.05,22.55,0,0,0,0,almost 4 years,1,0.0,1.0,66.5,74.68,89.05
Lighting 28 LED Main Light Bulb - spa,KK-10213,90,0,46.652,14.49,0,0,0,0,over 4 years,5,0.0,5.0,160.81,81.2866666666666667,233.26
Lighting 2x LED Perimeter Light - spa -p/n: 850,KK-10212,153,2,0.0,7.21,0,0,0,0,about 4 years,8,0.0,8.0,-57.68,0.0,0.0
Lighting 3in Light Lens/housing,KK-10546,15,0,14.56,8.0,0,0,0,0,over 3 years,1,0.0,1.0,6.56,45.04,14.56
Lighting 5in Light Lens - swim spa,KK-10548,10,0,36.27,10.78,0,0,0,0,about 1 year,2,0.0,2.0,50.98,70.28,72.54
Lighting 7 LED Main Light Bulb - small - spa,KK-10542,22,1,0.0,6.32,0,0,0,0,over 5 years,1,0.0,1.0,-6.32,0.0,0.0
LIGHTING Bulb to Loop link wire - spa - p/n: 998-1,KK-10210,82,0,0.0,7.21,0,0,0,0,about 20 years,1,0.0,1.0,-7.21,0.0,0.0
LIGHTING LOOP LINKAGE - spa - p/n: 999,KK-10211,93,0,0.0,7.21,0,0,0,0,over 11 years,2,0.0,2.0,-14.42,0.0,0.0
Lighting Main Light Lead,KK-10215,79,0,0.0,4.5,0,0,0,0,almost 5 years,2,0.0,2.0,-9.0,0.0,0.0
Lounger Rugby ball pillow 01/07 - Black,KK-10678,13,0,20.83,14.0,0,0,0,0,over 1 year,1,0.0,1.0,6.83,32.79,20.83
Marketing Materials,KM-00000,-37,0,6.1111111111111111,0.0,100,0.0,0.0,0.0,-,23,0.0,23.0,110.0,100.0,110.0
Medium Directional Jet (3.5in) - Hurricane,KK-10050,207,119,17.515,4.53,250,0,0,0,4 months,156,4.0,160.0,2854.62,76.7858333333333333,3561.3
Medium Directional Jet (3.5in) - Stainless Steel,KK-10071,80,0,20.3114285714285714,3.96,0,0,0,0,10 months,20,0.0,20.0,318.99,80.3142857142857143,398.19
Medium Massage Jet (3.5in) - Hurricane,KK-10051,144,11,19.4,4.53,150,0,0,0,9 months,43,5.0,48.0,604.39,76.94625,799.18
Medium Massage Jet (3.5in) - Stainless Steel,KK-10072,114,0,17.0542857142857143,4.22,0,0,0,0,over 1 year,16,0.0,16.0,221.39,78.61,288.91
